"","V_out Last (V)","V_out Ave. (V)","V_Ref Last (V)","V_Ref Ave. (V)"
"00:00:00.000","1.430","1.430","-2.009","-2.009"
"00:00:00.010","1.426","1.426","-2.011","-2.011"
"00:00:00.020","1.428","1.428","-2.010","-2.010"
"00:00:00.030","1.430","1.430","-2.007","-2.007"
"00:00:00.040","1.430","1.430","-2.003","-2.003"
"00:00:00.050","1.430","1.430","-2.011","-2.011"
"00:00:00.060","1.430","1.430","-2.015","-2.015"
"00:00:00.070","1.430","1.430","-2.011","-2.011"
"00:00:00.080","1.429","1.429","-2.012","-2.012"
"00:00:00.090","1.428","1.428","-2.009","-2.009"
"00:00:00.100","1.428","1.428","-2.010","-2.010"
"00:00:00.110","1.428","1.428","-2.011","-2.011"
"00:00:00.120","1.428","1.428","-2.012","-2.012"
"00:00:00.130","1.429","1.429","-2.013","-2.013"
"00:00:00.140","1.429","1.429","-2.010","-2.010"
"00:00:00.150","1.428","1.428","-2.012","-2.012"
"00:00:00.160","1.429","1.429","-2.005","-2.005"
"00:00:00.170","1.428","1.428","-2.010","-2.010"
"00:00:00.180","1.426","1.426","-2.010","-2.010"
"00:00:00.190","1.429","1.429","-2.012","-2.012"
"00:00:00.200","1.430","1.430","-2.011","-2.011"
"00:00:00.210","1.429","1.429","-2.009","-2.009"
"00:00:00.220","1.430","1.430","-2.010","-2.010"
"00:00:00.230","1.430","1.430","-2.009","-2.009"
"00:00:00.240","1.430","1.430","-2.009","-2.009"
"00:00:00.250","1.429","1.429","-2.009","-2.009"
"00:00:00.260","1.428","1.428","-2.006","-2.006"
"00:00:00.270","1.428","1.428","-2.011","-2.011"
"00:00:00.280","1.427","1.427","-2.011","-2.011"
"00:00:00.290","1.429","1.429","-2.006","-2.006"
"00:00:00.300","1.428","1.428","-2.011","-2.011"
"00:00:00.310","1.429","1.429","-2.009","-2.009"
"00:00:00.320","1.426","1.426","-2.011","-2.011"
"00:00:00.330","1.427","1.427","-2.010","-2.010"
"00:00:00.340","1.431","1.431","-2.005","-2.005"
"00:00:00.350","1.430","1.430","-2.006","-2.006"
"00:00:00.360","1.429","1.429","-2.007","-2.007"
"00:00:00.370","1.426","1.426","-2.008","-2.008"
"00:00:00.380","1.428","1.428","-2.007","-2.007"
"00:00:00.390","1.430","1.430","-2.013","-2.013"
"00:00:00.400","1.431","1.431","-2.009","-2.009"
"00:00:00.410","1.428","1.428","-2.011","-2.011"
"00:00:00.420","1.429","1.429","-2.009","-2.009"
"00:00:00.430","1.430","1.430","-2.010","-2.010"
"00:00:00.440","1.429","1.429","-2.023","-2.023"
"00:00:00.450","1.428","1.428","-2.015","-2.015"
"00:00:00.460","1.426","1.426","-2.013","-2.013"
"00:00:00.470","1.429","1.429","-2.010","-2.010"
"00:00:00.480","1.428","1.428","-2.014","-2.014"
"00:00:00.490","1.429","1.429","-2.007","-2.007"
"00:00:00.500","1.428","1.428","-2.014","-2.014"
"00:00:00.510","1.430","1.430","-2.003","-2.003"
"00:00:00.520","1.428","1.428","-2.011","-2.011"
"00:00:00.530","1.430","1.430","-2.010","-2.010"
"00:00:00.540","1.429","1.429","-2.013","-2.013"
"00:00:00.550","1.429","1.429","-2.012","-2.012"
"00:00:00.560","1.429","1.429","-2.003","-2.003"
"00:00:00.570","1.430","1.430","-2.008","-2.008"
"00:00:00.580","1.429","1.429","-2.009","-2.009"
"00:00:00.590","1.427","1.427","-2.009","-2.009"
"00:00:00.600","1.429","1.429","-2.010","-2.010"
"00:00:00.610","1.430","1.430","-2.012","-2.012"
"00:00:00.620","1.430","1.430","-2.008","-2.008"
"00:00:00.630","1.428","1.428","-2.016","-2.016"
"00:00:00.640","1.429","1.429","-2.013","-2.013"
"00:00:00.650","1.431","1.431","-2.010","-2.010"
"00:00:00.660","1.429","1.429","-2.005","-2.005"
"00:00:00.670","1.429","1.429","-2.011","-2.011"
"00:00:00.680","1.425","1.425","-2.030","-2.030"
"00:00:00.690","1.430","1.430","-2.008","-2.008"
"00:00:00.700","1.430","1.430","-2.013","-2.013"
"00:00:00.710","1.429","1.429","-2.013","-2.013"
"00:00:00.720","1.429","1.429","-2.014","-2.014"
"00:00:00.730","1.429","1.429","-2.009","-2.009"
"00:00:00.740","1.428","1.428","-2.006","-2.006"
"00:00:00.750","1.430","1.430","-2.011","-2.011"
"00:00:00.760","1.428","1.428","-2.009","-2.009"
"00:00:00.770","1.429","1.429","-2.009","-2.009"
"00:00:00.780","1.429","1.429","-2.011","-2.011"
"00:00:00.790","1.429","1.429","-2.012","-2.012"
"00:00:00.800","1.429","1.429","-2.007","-2.007"
"00:00:00.810","1.426","1.426","-2.012","-2.012"
"00:00:00.820","1.428","1.428","-2.004","-2.004"
"00:00:00.830","1.429","1.429","-2.013","-2.013"
"00:00:00.840","1.430","1.430","-2.010","-2.010"
"00:00:00.850","1.429","1.429","-2.008","-2.008"
"00:00:00.860","1.428","1.428","-2.012","-2.012"
"00:00:00.870","1.426","1.426","-2.007","-2.007"
"00:00:00.880","1.428","1.428","-2.013","-2.013"
"00:00:00.890","1.432","1.432","-2.008","-2.008"
"00:00:00.900","1.428","1.428","-2.005","-2.005"
"00:00:00.910","1.429","1.429","-2.013","-2.013"
"00:00:00.920","1.428","1.428","-2.013","-2.013"
"00:00:00.930","1.428","1.428","-2.012","-2.012"
"00:00:00.940","1.429","1.429","-2.012","-2.012"
"00:00:00.950","1.429","1.429","-2.013","-2.013"
"00:00:00.960","1.432","1.432","-2.010","-2.010"
"00:00:00.970","1.429","1.429","-2.009","-2.009"
"00:00:00.980","1.426","1.426","-2.012","-2.012"
"00:00:00.990","1.428","1.428","-2.014","-2.014"
"00:00:01.000","1.430","1.430","-2.011","-2.011"
"00:00:01.010","1.428","1.428","-2.012","-2.012"
"00:00:01.020","1.429","1.429","-2.014","-2.014"
"00:00:01.030","1.430","1.430","-2.007","-2.007"
"00:00:01.040","1.429","1.429","-2.012","-2.012"
"00:00:01.050","1.428","1.428","-2.008","-2.008"
"00:00:01.060","1.429","1.429","-2.020","-2.020"
"00:00:01.070","1.429","1.429","-2.010","-2.010"
"00:00:01.080","1.429","1.429","-2.009","-2.009"
"00:00:01.090","1.429","1.429","-2.011","-2.011"
"00:00:01.100","1.429","1.429","-2.007","-2.007"
"00:00:01.110","1.429","1.429","-2.013","-2.013"
"00:00:01.120","1.429","1.429","-2.009","-2.009"
"00:00:01.130","1.429","1.429","-2.011","-2.011"
"00:00:01.140","1.429","1.429","-2.009","-2.009"
"00:00:01.150","1.430","1.430","-2.013","-2.013"
"00:00:01.160","1.428","1.428","-2.013","-2.013"
"00:00:01.170","1.428","1.428","-2.008","-2.008"
"00:00:01.180","1.430","1.430","-2.016","-2.016"
"00:00:01.190","1.430","1.430","-2.010","-2.010"
"00:00:01.200","1.430","1.430","-2.012","-2.012"
"00:00:01.210","1.430","1.430","-2.009","-2.009"
"00:00:01.220","1.427","1.427","-2.011","-2.011"
"00:00:01.230","1.429","1.429","-2.010","-2.010"
"00:00:01.240","1.430","1.430","-2.002","-2.002"
"00:00:01.250","1.428","1.428","-2.012","-2.012"
"00:00:01.260","1.428","1.428","-2.010","-2.010"
"00:00:01.270","1.428","1.428","-2.006","-2.006"
"00:00:01.280","1.429","1.429","-2.011","-2.011"
"00:00:01.290","1.428","1.428","-2.012","-2.012"
"00:00:01.300","1.429","1.429","-2.008","-2.008"
"00:00:01.310","1.430","1.430","-2.011","-2.011"
"00:00:01.320","1.429","1.429","-2.008","-2.008"
"00:00:01.330","1.428","1.428","-2.003","-2.003"
