"","V_out Last (V)","V_out Ave. (V)","V_Ref Last (V)","V_Ref Ave. (V)"
"00:00:00.000","0.964","0.964","-2.981","-2.981"
"00:00:00.010","0.964","0.964","-2.974","-2.974"
"00:00:00.020","0.964","0.964","-2.972","-2.972"
"00:00:00.030","0.965","0.965","-2.974","-2.974"
"00:00:00.040","0.963","0.963","-2.975","-2.975"
"00:00:00.050","0.962","0.962","-2.975","-2.975"
"00:00:00.060","0.965","0.965","-2.973","-2.973"
"00:00:00.070","0.965","0.965","-2.970","-2.970"
"00:00:00.080","0.963","0.963","-2.983","-2.983"
"00:00:00.090","0.965","0.965","-2.976","-2.976"
"00:00:00.100","0.965","0.965","-2.974","-2.974"
"00:00:00.110","0.964","0.964","-2.976","-2.976"
"00:00:00.120","0.964","0.964","-2.973","-2.973"
"00:00:00.130","0.965","0.965","-2.973","-2.973"
"00:00:00.140","0.962","0.962","-2.975","-2.975"
"00:00:00.150","0.965","0.965","-2.973","-2.973"
"00:00:00.160","0.964","0.964","-2.980","-2.980"
"00:00:00.170","0.965","0.965","-2.975","-2.975"
"00:00:00.180","0.961","0.961","-2.980","-2.980"
"00:00:00.190","0.966","0.966","-2.971","-2.971"
"00:00:00.200","0.966","0.966","-2.980","-2.980"
"00:00:00.210","0.963","0.963","-2.975","-2.975"
"00:00:00.220","0.965","0.965","-2.972","-2.972"
"00:00:00.230","0.965","0.965","-2.974","-2.974"
"00:00:00.240","0.964","0.964","-2.977","-2.977"
"00:00:00.250","0.963","0.963","-2.977","-2.977"
"00:00:00.260","0.964","0.964","-2.979","-2.979"
"00:00:00.270","0.965","0.965","-2.975","-2.975"
"00:00:00.280","0.965","0.965","-2.976","-2.976"
"00:00:00.290","0.964","0.964","-2.980","-2.980"
"00:00:00.300","0.963","0.963","-2.978","-2.978"
"00:00:00.310","0.963","0.963","-2.973","-2.973"
"00:00:00.320","0.964","0.964","-2.970","-2.970"
"00:00:00.330","0.964","0.964","-2.976","-2.976"
"00:00:00.340","0.964","0.964","-2.976","-2.976"
"00:00:00.350","0.964","0.964","-2.976","-2.976"
"00:00:00.360","0.964","0.964","-2.973","-2.973"
"00:00:00.370","0.963","0.963","-2.975","-2.975"
"00:00:00.380","0.964","0.964","-2.973","-2.973"
"00:00:00.390","0.963","0.963","-2.974","-2.974"
"00:00:00.400","0.965","0.965","-2.973","-2.973"
"00:00:00.410","0.964","0.964","-2.972","-2.972"
